9103,Member,$100.00,06/15/2024,,,,1042,
9145,Member,$100.00,07/03/2024,,,,1325,
9175,Member,$100.00,07/29/2024,,,,1567,
9142,Member,$100.00,08/12/2024,,,,1789,
9195,Member,$100.00,08/30/2024,,,,1456,
9112,Member,$100.00,09/14/2024,,,,1678,
9132,Member,$100.00,09/28/2024,,,,1987,
9169,Member,$100.00,10/10/2024,,,,1765,
9125,Member,$100.00,11/05/2024,,,,1543,
9173,Member,$100.00,12/20/2024,,,,1890,
9180,Member,$100.00,01/14/2025,,,,1654,
9184,Member,$100.00,02/28/2025,,,,1999,
9304,Sponsor,"$3,599.00",08/09/2024,2305,,,,
9407,Advertisment,"$2,000.00",11/20/2024,,,1905,,
9204,Subscription,$300.00,10/25/2024,,,,,0901
9274,Subscription,$300.00,10/29/2024,,,,,0902
9494,Subscription,$300.00,11/05/2024,,,,,0903
95773,Ticket Purchase,$50.00,10/23/2024,,10329,,,
95774,Ticket Purchase,$50.00,10/02/2024,,10330,,,
95775,Ticket Purchase,$50.00,10/11/2024,,10331,,,
95776,Ticket Purchase,$50.00,10/19/2024,,10332,,,
95777,Ticket Purchase,$50.00,10/25/2024,,10333,,,
95778,Ticket Purchase,$50.00,10/30/2024,,10334,,,
95779,Ticket Purchase,$50.00,11/02/2024,,10335,,,
95780,Ticket Purchase,$50.00,11/08/2024,,10336,,,
95781,Ticket Purchase,$50.00,11/15/2024,,10337,,,
95782,Ticket Purchase,$50.00,11/19/2024,,10338,,,
